date,prize_5,prize_4,winners_5,winners_4,winners_3,winners_2,prize_5_double_play,prize_4_double_play,winners_5_double_play,winners_4_double_play,winners_3_double_play,winners_2_double_play
10/27/2006,50000,250,0,37,1454,14674,0.0,0.0,0.0,0.0,0.0,0.0
10/28/2006,75000,250,0,42,1424,15029,0.0,0.0,0.0,0.0,0.0,0.0
10/29/2006,102914,187,1,32,886,8575,0.0,0.0,0.0,0.0,0.0,0.0
10/30/2006,50000,250,0,21,928,9699,0.0,0.0,0.0,0.0,0.0,0.0
10/31/2006,60000,250,0,32,1056,11922,0.0,0.0,0.0,0.0,0.0,0.0
11/01/2006,85000,250,0,27,1144,13877,0.0,0.0,0.0,0.0,0.0,0.0
11/02/2006,124000,250,0,30,982,11184,0.0,0.0,0.0,0.0,0.0,0.0
11/03/2006,159000,250,0,36,1264,13341,0.0,0.0,0.0,0.0,0.0,0.0
11/04/2006,200000,250,0,45,1749,17321,0.0,0.0,0.0,0.0,0.0,0.0
11/05/2006,235000,250,0,25,894,10072,0.0,0.0,0.0,0.0,0.0,0.0
11/06/2006,268000,250,0,30,948,11752,0.0,0.0,0.0,0.0,0.0,0.0
11/07/2006,314654,198,1,55,1591,15950,0.0,0.0,0.0,0.0,0.0,0.0
11/08/2006,50000,153,0,68,1528,14939,0.0,0.0,0.0,0.0,0.0,0.0
11/09/2006,69000,216,0,40,1293,12963,0.0,0.0,0.0,0.0,0.0,0.0
11/10/2006,100000,228,0,42,1313,13927,0.0,0.0,0.0,0.0,0.0,0.0
11/11/2006,135000,250,0,30,1219,14465,0.0,0.0,0.0,0.0,0.0,0.0
11/12/2006,170000,250,0,23,669,8459,0.0,0.0,0.0,0.0,0.0,0.0
11/13/2006,200000,250,0,34,917,11491,0.0,0.0,0.0,0.0,0.0,0.0
11/14/2006,232000,250,0,26,1192,12513,0.0,0.0,0.0,0.0,0.0,0.0
11/15/2006,277000,250,0,48,1844,18070,0.0,0.0,0.0,0.0,0.0,0.0
11/16/2006,329019,193,1,57,1773,17329,0.0,0.0,0.0,0.0,0.0,0.0
11/17/2006,50000,226,0,41,1285,13401,0.0,0.0,0.0,0.0,0.0,0.0
11/18/2006,69000,195,0,55,1687,16112,0.0,0.0,0.0,0.0,0.0,0.0
11/19/2006,97000,250,0,18,733,8665,0.0,0.0,0.0,0.0,0.0,0.0
11/20/2006,125000,250,0,25,957,10515,0.0,0.0,0.0,0.0,0.0,0.0
11/21/2006,158000,250,0,32,931,10155,0.0,0.0,0.0,0.0,0.0,0.0
11/22/2006,198000,250,0,39,1517,16326,0.0,0.0,0.0,0.0,0.0,0.0
11/23/2006,237000,250,0,31,1041,11174,0.0,0.0,0.0,0.0,0.0,0.0
11/24/2006,268000,194,0,54,1635,16598,0.0,0.0,0.0,0.0,0.0,0.0
11/25/2006,310000,250,0,42,1567,17606,0.0,0.0,0.0,0.0,0.0,0.0
11/26/2006,345000,248,0,36,1217,11972,0.0,0.0,0.0,0.0,0.0,0.0
