"Date","Ball 1","Ball 2","Ball 3","Ball 4","Ball 5","DP"
"01/03/2022","12","27","33","34","42","0"
"01/03/2022","1","6","10","27","37","1"
"01/02/2022","16","17","18","26","29","0"
"01/02/2022","11","19","21","24","35","1"
"01/01/2022","2","17","22","26","36","0"
"01/01/2022","3","4","27","33","39","1"
"12/31/2021","7","9","14","23","41","0"
"12/31/2021","18","21","23","26","37","1"
"12/30/2021","4","15","22","26","32","0"
"12/30/2021","6","17","21","38","43","1"
"12/29/2021","12","15","20","27","41","0"
"12/29/2021","4","5","19","29","34","1"
"12/28/2021","13","15","20","28","41","0"
"12/28/2021","1","18","21","25","28","1"
"12/27/2021","7","12","14","15","21","0"
"12/27/2021","15","29","30","32","38","1"
"12/26/2021","10","14","16","32","38","0"
"12/26/2021","21","23","25","29","43","1"
"12/25/2021","9","15","26","27","43","0"
"12/25/2021","10","12","25","26","34","1"
"12/24/2021","2","4","14","23","40","0"
"12/24/2021","7","15","32","36","41","1"
"12/23/2021","8","13","24","28","37","0"
"12/23/2021","1","11","22","40","43","1"
"12/22/2021","7","21","26","31","33","0"
"12/22/2021","14","27","32","36","38","1"
"12/21/2021","8","11","15","21","23","0"
"12/21/2021","8","31","34","42","43","1"
"12/20/2021","5","7","19","30","31","0"
"12/20/2021","1","3","18","23","35","1"
"12/19/2021","13","24","32","34","40","0"
"12/19/2021","10","14","19","40","42","1"
"12/18/2021","10","17","29","35","38","0"
"12/18/2021","9","15","18","21","22","1"
"12/17/2021","29","30","31","37","38","0"
"12/17/2021","2","21","31","38","41","1"
"12/16/2021","3","4","13","17","19","0"
"12/16/2021","3","5","17","25","37","1"
"12/15/2021","3","22","24","31","37","0"
"12/15/2021","5","14","19","28","40","1"
"12/14/2021","20","26","27","33","37","0"
"12/14/2021","7","12","18","19","32","1"
"12/13/2021","4","9","11","22","25","0"
"12/13/2021","7","14","19","24","40","1"
"12/12/2021","13","14","20","26","42","0"
"12/12/2021","10","22","25","26","37","1"
"12/11/2021","6","14","26","27","37","0"
"12/11/2021","4","19","26","42","43","1"
"12/10/2021","5","10","12","38","42","0"
"12/10/2021","6","15","32","35","41","1"
"12/09/2021","5","8","15","18","33","0"
"12/09/2021","2","13","20","21","25","1"
"12/08/2021","2","12","27","28","32","0"
"12/08/2021","1","9","11","23","41","1"
"12/07/2021","8","18","31","37","38","0"
"12/07/2021","3","9","11","29","32","1"
"12/06/2021","1","4","15","31","40","0"
"12/06/2021","3","5","6","37","38","1"
"12/05/2021","14","16","19","21","28","0"
"12/05/2021","8","18","27","36","38","1"
"12/04/2021","6","10","11","25","33","0"
"12/04/2021","11","24","27","35","38","1"
"12/03/2021","3","8","17","23","38","0"
"12/03/2021","11","19","24","37","43","1"
"12/02/2021","2","21","23","33","35","0"
"12/02/2021","1","11","22","26","43","1"
"12/01/2021","2","30","32","33","39","0"
"12/01/2021","14","16","25","29","40","1"
"11/30/2021","1","15","21","27","43","0"
"11/30/2021","5","24","29","32","34","1"
